"trt","nitro","rep","stage"
"T1",1.4,"R1","P3"
"T2",1.53,"R1","P3"
"T3",1.33,"R1","P3"
"T4",1.61,"R1","P3"
"T5",1.11,"R1","P3"
"T6",1.26,"R1","P3"
"T7",1.87,"R1","P3"
"T8",1.76,"R1","P3"
"T1",1.24,"R2","P3"
"T2",1.21,"R2","P3"
"T3",1.54,"R2","P3"
"T4",1.33,"R2","P3"
"T5",1.25,"R2","P3"
"T6",1.44,"R2","P3"
"T7",1.81,"R2","P3"
"T8",1.28,"R2","P3"
"T1",1.44,"R3","P3"
"T2",1.28,"R3","P3"
"T3",1.46,"R3","P3"
"T4",1.4,"R3","P3"
"T5",1.39,"R3","P3"
"T6",1.12,"R3","P3"
"T7",1.31,"R3","P3"
"T8",1.23,"R3","P3"
"T1",1.25,"R4","P3"
"T2",1.17,"R4","P3"
"T3",1.41,"R4","P3"
"T4",1.12,"R4","P3"
"T5",1.2,"R4","P3"
"T6",1.24,"R4","P3"
"T7",1.56,"R4","P3"
"T8",1.29,"R4","P3"
